train/token_all_acc,test/note+offset_precision,test/batch_size,_timestamp,test/note+offset+velocity_recall,train/token_EOS_r,_runtime,validation/token_all_acc,train/token_NoteOff_acc,time/backword_done,device_memory_usage/cuda:0,validation/token_Pitch_acc,train/token_EOS_f1,test/note_recall,test/note+offset+velocity_precision,test/note_f1,test/note+offset+velocity_f1,time/metrics_cal_begin,train/token_EOS_p,epoch,validation/token_NoteOff_acc,time/loss_cal_done,test/target_length,test/note_precision,train/token_Onset_acc,time/forward_step_done,validation/token_EOS_f1,device_memory_usage/cuda:0_max,train/loss_decoder,validation/token_EOS_r,validation/token_EOS_p,_step,validation/token_Vel_acc,validation/loss_decoder,train/token_Vel_acc,validation/token_Onset_acc,trainer/global_step,test/note+offset_f1,train/token_Pitch_acc,time/data_load_done,time/forward_done,validation/loss,test/note+offset_recall,train/loss
0.001766615780070424,,,1764792018.8486574,,0.0,78.422046504,,0.0025891829282045364,8.041632652282715,12164.865234375,,0.0,,,,,0.0012652873992919922,0.0,0,,0.08176088333129883,,,0.0018643338698893785,5.83119010925293,,13301.5859375,4.449911117553711,,,0,,,0.0011438375804573298,,49,,0.0011438375804573298,0.0027649402618408203,0.2844088077545166,,,4.449911117553711
0.22421374917030334,,,1764792260.5940886,,0.2800000011920929,320.167404321,,0.05432595685124397,0.3596065044403076,12452.546875,,0.09859155118465424,,,,,0.00093841552734375,0.05982905998826027,0,,0.11161160469055176,,,0.07809364795684814,1.3347463607788086,,13589.283203125,2.9604904651641846,,,7,,,0.0727151408791542,,399,,0.06404269486665726,0.0019218921661376953,0.22772574424743652,,,2.9604904651641846
0.2288283109664917,,,1764792294.5866559,,0.3103448152542114,354.160033738,,0.057945869863033295,0.3610420227050781,12452.546875,,0.14876031875610352,,,,,0.000957489013671875,0.09782608598470688,0,,0.11869359016418457,,,0.08802510052919388,0.007654428482055664,,13589.283203125,2.9341514110565186,,,8,,,0.07355516403913498,,449,,0.06024518236517906,0.001878499984741211,0.22022223472595215,,,2.9341514110565186
0.2494157999753952,,,1764792397.6750786,,0.3333333432674408,457.248407522,,0.06664590537548065,0.3610420227050781,12452.546875,,0.1592920422554016,,,,,0.000957489013671875,0.10465116053819656,0,,0.11869359016418457,,,0.13556942343711853,0.007654428482055664,,13589.283203125,2.660139322280884,,,11,,,0.07752422988414764,,599,,0.07877461612224579,0.001878499984741211,0.22022223472595215,,,2.660139322280884
0.2618989050388336,,,1764792431.6430447,,0.23999999463558197,491.216348292,,0.06660772114992142,0.3590404987335205,12452.546875,,0.15584415197372437,,,,,0.0009436607360839844,0.11538461595773697,0,,0.1191413402557373,,,0.1712004691362381,0.007572174072265625,,13589.283203125,2.6445629596710205,,,12,,,0.07416196912527084,,649,,0.08543458580970764,0.0019173622131347656,0.21861767768859863,,,2.6445629596710205
0.2809145152568817,,,1764792499.6410797,,0.29629629850387573,559.214439334,,0.06145100295543671,0.3590404987335205,12452.546875,,0.2222222238779068,,,,,0.0009436607360839844,0.17777778208255768,0,,0.1191413402557373,,,0.22004857659339905,0.007572174072265625,,13589.283203125,2.5341153144836426,,,14,,,0.0782678872346878,,749,,0.10892952978610992,0.0019173622131347656,0.21861767768859863,,,2.5341153144836426
0.4126284122467041,,,1764793045.46102,,0.24137930572032928,1105.034412881,,0.0856308788061142,0.3642387390136719,12452.546875,,0.3181818127632141,,,,,0.0010364055633544922,0.46666666865348816,0,,0.11929941177368164,,,0.5462185144424438,0.0073773860931396484,,13589.283203125,1.9908866882324219,,,30,,,0.07020933926105499,,1549,,0.23188406229019165,0.001748800277709961,0.2290337085723877,,,1.9908866882324219
0.43091246485710144,,,1764793113.5050445,,0.20000000298023224,1173.078375985,,0.05984000116586685,0.3635261058807373,12452.546875,,0.2790697515010834,,,,,0.0009388923645019531,0.4615384638309479,0,,0.11920690536499023,,,0.5993605256080627,0.007649898529052734,,13589.283203125,2.00109601020813,,,32,,,0.09201277792453766,,1649,,0.2376996874809265,0.0018413066864013672,0.21620416641235352,,,2.00109601020813
0.4187343716621399,,,1764793147.533491,,0.16129031777381897,1207.106760711,,0.06739206612110138,0.3635261058807373,12452.546875,,0.25641024112701416,,,,,0.0009388923645019531,0.625,0,,0.11920690536499023,,,0.563744306564331,0.007649898529052734,,13589.283203125,1.9984408617019653,,,33,,,0.08376781642436981,,1699,,0.24018074572086334,0.0018413066864013672,0.21620416641235352,,,1.9984408617019653
,,,1764795371.128074,,,3430.70128726,,,,,,,,,,,,,1,,,,,,,,,1.969040870666504,,,36,,,,,1799,,,,,,,1.969040870666504
